,Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Address,Price
35,66347.04470785579,4.643660663194293,5.335454983971137,2.11,44644.247790468246,"764 Christina Groves
Lake John, ME 30645",930493.33131078
36,75046.84820392633,4.983084628511218,8.877240041623617,3.0,32468.031152300973,"PSC 8891, Box 6475
APO AP 28726-5123",1287325.381856674
37,68311.99650155718,6.833040608845022,5.955943931295643,4.36,39724.18881198779,"26695 Coleman Ways Apt. 973
New Michaelfurt, WI 63617",1400609.034078121
38,77021.41650498196,6.269371897145731,7.665643100697559,3.35,27855.39454191609,"170 Erickson Keys Suite 106
North Cheryl, RI 98322-7567",1453312.4679297977
39,61868.60746252615,5.787124105770914,4.774978250870109,3.17,34967.075630842235,"76329 Eric Mount Suite 495
Whiteville, AS 79813",974805.9937128816
40,66006.17955972417,6.107907982328986,7.370410988881261,4.06,40691.23866160479,"1147 Kimberly Vista
Sandraview, WY 40555-7596",1367312.1320525082
41,76149.22101585673,3.430713497952932,7.383674760135991,4.31,30532.99239461205,"106 Scott Plain
North Audrey, AZ 04363-0913",1043281.2900746964
42,71232.91398344806,4.235712056044939,5.800259721360161,2.07,31088.890171173745,"9450 Smith Path Suite 035
Chapmanburgh, NM 22261-2035",676979.7154027742
43,69624.25526519057,3.8546175682080808,6.893908707137508,2.04,29292.129427585587,"1645 Flores Crest
Lake Lindaview, WY 93993",771310.0003991764
44,75025.96428821646,3.386003828705174,6.119781300071491,4.07,33970.36011401802,"76711 Laura Lodge Apt. 211
South Chad, PA 10027-9358",864067.0615371757
45,66064.53282345735,6.659561749956957,6.881398143145441,4.4,44561.33359231657,"054 Carter Crescent Suite 674
Glennport, WA 11140",1444701.3279198643
46,74095.71281459706,5.908764789337825,6.847362326302656,3.0,32774.02197481578,"688 Matthew Dale Suite 274
Lake John, FL 43555",1121023.4370105471
47,75582.4597645351,5.506473429253344,6.774986418531476,4.33,31946.30386752329,"9155 Kayla Station Suite 233
Natalieborough, SC 99093-8399",1046721.9761732472
48,79442.505795037,6.300600085463341,5.9832047216642525,2.45,4114.489353324316,"479 Kevin Wells
Deborahview, ID 06062-1191",965318.6957876944
49,71298.90667414536,7.7125753374539965,8.004989582540986,5.26,32345.387931697667,"5392 Riley Gateway Apt. 904
Jennifertown, FM 85603",1730662.3929334427
50,61687.869796313855,5.418324640776183,7.334991821398235,3.48,34760.760268288344,"253 Marshall Manors
West Karenmouth, MH 73741",991934.0653650308
51,69380.83776857436,6.1855059419739336,6.115470080853528,4.16,25327.68669623837,"5119 Hess Circles
Gouldview, FM 26660",1023965.4034107302
52,70280.68819235449,4.62516432911896,5.62550981808095,2.37,38916.17468816861,"3225 Boyle Circle Suite 725
North Hollyburgh, WI 05753-3986",868694.0736998019
53,68201.41248629357,4.196947770272235,5.969959493652295,2.3,43468.164464824906,"0339 Anderson Groves
South Joshua, GA 31409",846055.7174491595
54,42943.936008646095,6.289222852035643,8.366067624474567,3.25,34468.87383158075,"53018 Hunt Ranch
Fletcherville, FM 11404",889831.1510522065
55,77163.30056977611,5.052311501306062,7.514062031634271,6.06,27766.761938961525,"8223 Henderson Plains Apt. 962
Garciaburgh, IN 38863-1765",1228362.746896066
56,57868.26663232143,6.042906909280298,7.423526770172239,6.27,45196.15396424709,"PSC 8150, Box 6860
APO AE 97253",1189069.1046909408
57,71816.27642579848,5.494487520449796,8.62926840652209,6.27,41178.26119175778,"93115 Hernandez Freeway Suite 114
New Katherineton, OR 54277",1607863.8282865288
58,73649.39696434651,6.471256486419513,5.667117320554232,4.07,47992.34474372509,"571 Fletcher Mountains Apt. 828
New Vincenttown, AZ 06781-5577",1431517.43889219
59,68652.60921090658,6.124342100310332,6.290820166996657,4.42,39355.625729470295,"4343 Joshua Lake Suite 096
Pierceview, NV 62614-9110",1170720.893654292
60,56849.221106502686,4.043752332331992,6.781536869737978,3.19,43522.68517785573,"225 Brandi Avenue Apt. 147
Lopezbury, KS 51049",605073.4908029073
61,75999.6975165712,6.490186036356107,7.241035565418122,4.21,35183.720257909146,"1503 Allison Freeway Apt. 398
Lake Gina, AS 58599-4858",1634781.273826886
62,66644.29034248486,8.156846515190841,5.864071285895754,3.19,36858.96770424608,"39749 Jaime Brook
Lake Amanda, MS 62810-2464",1450769.8409873634
63,60710.16208195745,5.399849594465637,7.920511375049014,6.41,44101.240526968766,"54528 William Streets Apt. 691
Anthonyhaven, IA 31543",1286980.8074177934
64,69248.29958792876,5.958735586989858,5.652694477356138,2.21,35990.10338695565,"1249 Rodriguez Skyway
East Laura, UT 81039",1090826.3744863127
65,65706.75563843455,6.180693957432935,5.698131455817793,4.31,42527.78565855737,"0612 Jimenez Way
Arnoldfort, TX 11863-1792",1271340.3814239912
66,44426.26298237767,6.205941992078737,8.312282104966862,3.06,55838.913085095,"738 Sue Forks Suite 386
Lake Katherineville, MI 07940-4286",1344406.9301585502
67,74791.01675490434,6.11342940601403,7.480408801422413,6.45,29153.79964988065,"4536 Nathaniel Course
West Teresa, SC 77668",1518706.282893025
68,68738.36521464473,4.186458038028757,5.987896443725842,3.44,47445.35916724482,"71654 Brown Summit Suite 194
Bonillaberg, VT 79693-8592",1084945.3996676442
69,70921.56856864705,5.665185384549687,6.375371505488283,3.28,29390.21727018504,"8398 Sanchez Gateway Suite 937
Mccoyburgh, PA 32814",960808.291081754
70,77413.92751058174,6.2047892378054526,6.549836017420472,3.21,28795.12019644605,"0271 Charles Vista
Sarahshire, MI 37710-8022",1241386.7369789924
71,64035.51065186997,5.649874971268113,6.349387980051754,2.17,47334.62227064621,"381 Rodriguez Inlet Apt. 151
Port Karenberg, TN 68563",1179983.4416351905
72,68599.04341313866,4.526574351554972,8.781110948035272,5.45,44339.96289346858,"Unit 6023 Box 7633
DPO AA 46376",1234837.2060070026
73,69878.7741990808,7.218330987033392,6.2491922346316775,4.02,26814.17474758404,"48635 Burch Pine
Lake Ellen, KY 06268",1197515.4542248368
74,74910.40482670155,5.949550209109889,7.15219861879022,6.26,39407.693743394695,"814 Glover Plains
Port Andrea, IN 33085-0999",1562573.061081018
75,78074.94799318898,5.691650411637049,7.735931940846429,4.06,58051.60065964049,"35058 Gregory Heights Suite 044
Garciaburgh, GA 63314",1930802.9189611124
76,62773.52097668653,4.4968436530521245,6.803529578504777,4.06,41389.36487082298,"1880 Samuel Fork Suite 830
Lake Elizabethfort, UT 41369-0237",954737.141064872
77,61310.280028198045,7.951206604849397,7.131255780303063,4.39,33201.053712740766,"29337 Gabrielle Mission Suite 631
Loganfort, MS 10959",1419345.6073025845
78,68779.1742956941,5.1986505736867095,7.836796128173754,6.11,18901.415431760703,"649 Miller Fork Apt. 925
West Geraldside, VT 87236-9508",869924.0584222449
79,66098.5707230868,5.875820407976882,6.586904028286057,2.13,28433.85034905073,"USCGC Guzman
FPO AE 96158-4679",1040376.9951696122
80,86340.2872916062,4.930051000348545,6.183440077191862,3.01,35630.560451493104,"6864 Michelle Field Apt. 339
Madisonmouth, KY 99033",1437053.5572016188
81,53641.310287403176,4.50962279049937,7.728757647408083,5.4,36472.17905089275,"5215 Robert Circles
Paulfort, AR 94686",616056.9600419117
82,84364.70732803376,4.698058035364999,7.107708221756831,3.46,50521.10423450762,"8285 Thompson Spring Apt. 597
East Stephanie, NY 77685",1551094.8149781222
83,74838.65747339962,5.919090478688957,7.54327640412288,6.0,23637.25636750912,"43929 Valerie Forest
Terrellton, DE 21808",1137467.585767479
84,67814.41733795527,6.33241301352278,5.960443411222234,4.37,35102.9959983678,"4737 Maynard Knoll Apt. 690
Dawsonville, KY 22654-0782",1223432.8397755532
85,61951.17043520197,6.065183671190328,7.438633339680427,5.43,31521.27570993935,"471 Robert Path Apt. 386
South Sherrymouth, OR 35057-8177",943404.2390412588
86,76287.4682012735,6.654227602295674,4.985136206837568,2.27,35212.743880369235,"USS Jones
FPO AP 83668-4924",1299126.82985549
87,61526.974447976725,6.593962539007936,9.180401428602025,6.11,27307.948031413587,"23682 William Glens Apt. 920
Lake Hollystad, CO 20067",1381430.630188794
88,62840.190473925264,6.389363528618119,6.002304868294862,3.33,35658.692679981235,"94986 Johnson Points Suite 190
South Patricia, MT 12752-2964",1026126.5838267674
89,70213.64600245218,5.913556736656338,5.829800995829703,3.26,34386.429780147584,"8578 Michele Squares Apt. 349
East Bobbychester, MI 75471-8887",1064569.6062282685
90,66764.39845179237,5.098117276351379,8.646249013675773,6.18,28467.211441719588,"0748 Richard Lodge
East Mary, NM 61589-8091",1238406.1897839587
91,54203.30082483788,7.298337307155216,6.204286864712616,2.49,60388.34424752028,"12804 Hood Extension Apt. 337
Dianaton, TX 94633",1394900.984583555
92,85313.88545069011,6.033157792417207,6.633757594605541,4.21,23974.435567517416,"85227 Kevin Stream Suite 299
Lake Todd, WV 65286",1540418.2221625454
93,74598.43175721179,5.04287588721026,6.602190803515652,3.3,44568.66968700314,"4173 Grant Village Apt. 373
Port Jerrybury, OR 80243-7606",1399466.897763413
94,71930.60955322192,4.493521763486514,6.762292739450368,4.18,23234.26874828521,"231 Hensley View Suite 751
Hatfieldview, MD 22733",943668.4823796288
95,51992.74329122318,7.186340287111901,7.138233913946404,3.32,21759.506125993168,"073 Martinez Neck Suite 992
North Sara, MA 27515",1012262.7116594332
96,57782.41707710912,5.15930097752672,6.332626733044224,2.46,33426.84937548807,"Unit 2107 Box 1980
DPO AA 76733",861321.5806924718
97,72748.51296470863,6.879262946023033,8.783143977411184,6.28,40137.50244291957,"231 Rodriguez Extensions
Ramirezview, UT 82819-9826",1726364.3979780802
98,78274.52642510412,4.910953601413371,8.621772096135357,4.08,56299.77259934372,"889 Michael Springs Apt. 647
South Thomasburgh, MH 33971",1816099.1378394717
99,73732.21222715949,4.915484220383751,7.747907541313155,6.5,36734.74419796701,"472 Brian Station Apt. 917
Morenobury, PA 44089-5528",1369016.7779001954
100,52446.26685600125,5.694610807792681,7.429639244113227,3.11,32934.553200974915,"20185 Mary Crest
South Reneeville, VI 91892",658646.1847265189
101,63335.794905723655,6.295120484433175,6.30811423776209,3.44,35469.028665063226,"524 Patrick Heights Suite 522
Lewisport, VA 82776",1172514.722473985
102,88733.44803038333,4.7400321868086985,7.914386739965973,4.0,32505.916374085224,"5513 Ward Mission Suite 961
West Melissafort, NH 86610",1397943.5134157222
103,60288.475915401374,6.1702391538252845,7.0143146411558375,3.28,34651.072316906946,"0163 Samantha Coves Apt. 848
Port Heidiville, NM 43609-6558",1144937.6138049632
104,61957.15430368169,7.841080501837604,7.472966963481972,4.19,38448.49148202493,"791 Noble Port
Michaelland, OK 69198",1338044.383312593
105,45073.89517578935,8.333101975109903,4.635161107885296,3.3,38066.161296912505,"649 Adams Viaduct
Dustinland, MD 91269-0163",704698.362078768
106,79663.79739669301,6.679506176429633,5.233763008437677,3.0,32806.85495044011,"125 Jay Radial
East Brandonport, OK 68905",1298476.894637183
107,82425.05337075949,5.332689067327657,5.698082517635246,2.36,41020.43966181279,"298 Edwards Village Apt. 878
East Jeffreyshire, OH 06998-9930",1403296.2576075103
108,71813.75784204276,5.135510991155977,7.6569900790712495,3.08,27307.965579326094,"1566 Jesus Expressway Suite 832
Kathrynview, AK 07505",1049981.3515831316
109,67579.23479443134,5.973219004488523,7.754357545442311,6.32,21762.94968562536,"744 Hill Ports
Mooreside, MH 20945-2825",1170959.5262846122
110,49160.30411068882,5.078184036104398,7.992645042914468,6.13,28382.70669442461,"927 Robert Isle Suite 381
New Karen, MD 94991-2002",585440.4314477128
111,73367.04599083934,6.173290661038383,9.054709887987451,5.25,23684.787951169244,"469 William Shore Suite 726
South Krystalchester, MP 47720",1521730.791403271
112,71499.91565954227,6.024763926033676,6.511808718872203,3.04,41870.908385299954,"6034 Stevens Key
Jessicabury, ID 53712",1325503.4540826778
113,67568.93163055391,4.996248972598783,7.594158657998098,4.17,36474.98799620042,"86766 Susan Ridge Suite 556
East Theresamouth, MH 09051-0041",1183343.566493446
114,62519.35043467728,7.338548742679381,6.590286607042429,3.03,36889.39531642183,"865 Hartman Crest
Karenmouth, VT 91847",1277780.5122094348
115,54236.69624906157,5.643910689959399,8.473199325627425,3.27,65857.93332223437,"20665 David Well
Phillipsshire, WV 17695",1372969.3107494302
116,64506.79006369104,6.384603896600474,7.551429300428981,6.07,41521.43992590107,"57349 Paul Wall
Port Kelly, MD 28873-9792",1427202.2785615397
117,86051.08730099998,6.048516624336933,6.196703573451247,3.26,49475.67120601008,"78608 Brown Tunnel
Kimberlyville, NH 77937",1754866.3954783296
118,68500.81624062688,5.842970740471362,7.031799422900674,5.36,51746.72764067863,"03124 Jessica Prairie
Lake Edward, DC 65069-7385",1530729.5784536256
119,77755.5397025914,5.718540433687803,6.891789698771351,4.36,22239.28397940706,"5555 Eric Mountains Suite 230
Port Cindy, SD 44847-6360",1091928.6155307412
120,75146.80358852219,4.454425781536138,8.509775274407627,6.1,55577.966447515566,"38973 Jeanette Lock
Shafferville, RI 86582-2504",1560746.8656891368
121,73714.16482719296,6.107370869957324,6.337053805456722,3.08,30049.17001355405,"3443 Murphy Shore
Lauriestad, NE 46924",1016960.6547934016
122,71758.58761708718,6.172785820361128,6.9096769013295285,2.2,42115.14601691982,"PSC 0599, Box 0119
APO AP 10621",1297619.3482987224
123,67371.42085657586,5.333820711722908,6.624951289232869,4.37,24797.764758517227,"94952 Hall Cliffs Suite 366
West Jessica, MT 23902",739870.7936402658
124,76808.34427744779,7.422466607347741,6.739908507399472,4.21,31129.642484339405,"8241 Mitchell Locks
East Wendy, UT 08784-8239",1550242.010189079
125,69900.13395920537,6.327089455579013,8.366505983691246,6.34,32679.187663398912,"00985 Michael Fields Suite 034
Wandahaven, CO 62328",1599634.4650367943
126,72994.02314947754,6.584041415025671,6.579368086613844,3.4,40449.96172994412,"673 Gibson Circles Suite 962
South Andrew, FL 87783-2655",1507035.8737133096
127,84657.62364312695,8.125141793920852,7.456779004185507,5.17,37068.48675729165,"2462 Johnson Spring Suite 237
Douglasberg, ID 61833",1921028.5698855328
128,64552.64510398485,5.980521387607929,7.790399375914793,3.05,48667.34977868071,"30877 Randy Lodge Suite 908
Bankstown, UT 40819",1535781.3940854766
129,71452.09168018027,5.157715794147923,6.592765037447954,4.08,42152.13605364549,"319 Leah Way
New Kimberlyborough, DE 67521",1257780.0670395987
130,67813.67657888071,5.672336690398967,6.396445089615988,3.14,30253.85747593123,"1949 Curry Plaza
Darlenestad, PR 25811",1057347.1660527764
131,76483.58550912986,5.232203992878085,5.458379948588005,2.01,54737.92663560871,"9653 Rush Cliffs Suite 130
Caldwellside, PR 40207-1379",1382787.3245131264
132,65380.31623827201,7.525690556683009,7.34602835581618,6.15,21641.476199740937,"4896 Sandoval Plaza Suite 098
New Robertchester, KY 58588-4690",1269486.3372270886
133,69584.65691092463,5.367761194747169,8.048969161449065,6.19,17045.80773059446,"27634 Bell Mission Apt. 748
Whiteshire, FM 13329-8305",1059262.0393685936
134,78276.57242739043,4.386270794892091,5.218507156074958,4.27,21371.9237869562,"5534 Lang Circle Apt. 477
Port Brianshire, MT 26767",782656.0804195708
135,67006.3622043569,5.706389290533293,9.295531206925396,6.38,34653.79810206653,"815 Mark Rapids Apt. 633
Aguirrefurt, AZ 73000",1440897.4124288629
136,83664.38975870083,4.950569547962323,7.654162707005494,4.3,39642.129934742974,"634 James Ridge
Joannberg, OH 06034",1665515.2461223246
137,73611.68863121094,4.756446026329432,7.766507123922494,4.23,38294.075979038695,"827 Christina Divide
New Tanya, MO 26789-8710",1487855.537964487
138,71329.00273031463,6.389930497136997,5.958260743276505,3.13,25974.45322502558,"4972 Collins Glens Suite 751
Aliville, MT 39392-7727",1235501.486170372
139,68929.15807448354,7.590878455931669,6.8919694931317945,3.24,172.61068627290044,"178 John Fork Apt. 779
East James, VT 90132",840272.8648923194
140,70489.29299690784,5.907266842868529,7.0254808221099045,5.06,48796.54452141578,"8489 Johnson Throughway
West Brianna, NV 24375",1541746.2905590518
141,74469.43768297418,5.873869785402678,6.8811736473711465,4.47,35370.306655241126,"04389 Cathy Village Apt. 129
Mcgeeview, NC 63795",1399892.255685736
142,60815.39039496142,7.170128530473722,7.984335122159103,4.11,31233.649345910067,"50933 Barber Divide Suite 927
Jacksonborough, NE 46696-1788",1401613.9197693218
143,74237.26127870168,4.663506200504097,4.705015387452186,4.35,37651.01453316747,"238 Samuel Haven
South Michael, AL 99621",852982.5643785995
144,71499.80664526345,5.533015545583083,6.767607218206619,3.11,27417.111833283256,"47405 Martin Run Apt. 389
Lake Charles, FL 96293",1035976.952869708
145,64910.38874373063,5.983204491021803,7.596385198258407,5.03,41942.177838284246,"816 Melton Mill Suite 464
Port Lindsayville, OH 91392-4020",1210026.0312604236
146,68246.92782680782,3.907090366992039,7.175401501213707,3.28,24553.459866628866,"759 Alexander Cliffs
Port Bruce, VA 20003-6583",688479.2925910209
147,71328.91388151943,5.870774806243666,6.011422792693306,2.5,26738.54964357993,"7786 John Viaduct Suite 611
Lake Travis, IN 64533",1062105.3081273877
148,65510.581803666224,5.992305307333977,6.792336104424982,4.07,46501.28380314165,"37778 George Ridges Apt. 509
East Holly, NV 29290-3595",1298950.4802669554
149,61704.34216351079,5.32024016716908,7.249122096487785,5.07,19148.039710690995,"7185 Susan Island
Port Mary, HI 31939-9575",849656.9231925056
150,85662.30267825493,6.435739431234123,8.72962102417339,3.23,42401.60109309482,"108 Brandon River Suite 495
West Suzanne, OH 54121",2031338.3469761028
151,69379.23817174447,8.207386060033253,8.273386771684345,6.4,34612.763716045105,"74689 Greer Stream Suite 365
West Matthew, TX 02902-3581",1827476.1960615185
152,54457.126389024364,8.287674930799158,6.66712651436214,2.04,38438.76028701177,"241 Sawyer Glen
Ericafurt, AL 58930",1240380.4614059897
153,74452.82103017729,5.108147651853947,5.456042406756656,4.4,37298.07147604728,"77636 Donald Avenue Apt. 063
Lake Savannahfort, ID 71155-2535",1065679.1208029888
154,76681.25992751714,6.657110323306898,6.511746963362182,4.47,55292.22079627772,"05066 Bradley Estate Suite 777
New Meghan, WA 71783-8143",1824987.706251756
155,64989.78396196952,5.162645345919622,7.462080082834245,6.06,34819.42830066867,"48441 Christian Rest Apt. 971
Lake Christopher, OK 04397-2119",1031367.588516485
156,61492.92159075321,6.202397053893392,6.295968674664255,3.0,37743.40274683161,"8136 Stephanie Knoll
East Ashleymouth, MA 20672-6561",1050838.7041572668
157,57630.37364113848,5.91355748949476,6.53880246660608,3.26,38748.50420217005,"13196 Robert Pass Suite 895
Riveraside, NM 17895-8133",1096938.4279098415
158,88470.86805605602,7.419982031939299,6.872379547249247,2.24,45811.42560652657,"1145 Ethan Station
East Brian, CO 17006-8309",1955253.711458321
159,83357.44997301033,6.073122167749339,6.2295913159303495,3.05,28688.31024818286,"10850 Nichols Manors
South Bradley, PA 54126",1168822.8173240784
160,62358.404104539964,6.870976759370007,7.326975753936468,4.19,35365.94559951881,"112 Mark Glens Suite 136
Lake Jason, WY 98504-0312",1212276.3574996628
161,72847.98841574941,5.947064301865009,6.459058727549611,3.03,21985.73467346842,"1552 Michael Village Suite 300
West Christopher, MD 17583",960918.6584475788
162,59789.73643452903,5.49092227304844,6.398561271124016,3.08,49200.07956822676,"996 Frederick Bridge Suite 989
Port Lucas, OR 91671",1174311.5559111224
163,56962.4483136245,6.348594854010623,6.055684980734823,3.16,43181.51306578885,"0743 Reed Lakes Suite 463
Vincentfurt, MS 65562-5283",1127082.1989417674
164,43401.441634812894,7.03677819173655,6.627467480655795,3.42,24589.410382891383,"67815 Hunt View Apt. 776
West Melaniefort, CO 84268-8523",736817.3769171783
165,60717.398272177474,4.409209198826916,5.303686665501512,4.11,42891.598943905046,"647 Parks Summit
Charlesfort, CT 20661",596350.350685955
166,70866.71678758075,5.870557966335325,5.728607327546822,2.45,24511.81998454112,"538 Roger Circle Apt. 824
Juarezport, OR 83733",885709.7642844076
167,74022.05327421406,5.896128880543501,7.521358532367296,4.14,36533.83777923328,"PSC 8414, Box 7571
APO AP 04809",1434575.1099082837
168,62032.95946791353,5.235210946591777,7.08348313427829,4.39,25267.10760690842,"1728 Erickson Ferry Apt. 348
Johnborough, WY 10598-1489",800809.1316861338
169,88054.31028963822,5.758677140272447,6.940595330270735,3.29,22289.733475888268,"558 Jackson Overpass Apt. 511
South Brittanyshire, GU 55774",1454699.2314104706
170,58188.18628616545,6.2941608788820576,6.068655888564629,2.34,38104.49400632603,"591 Ryan Garden Suite 038
North William, GA 71549-7538",1047012.2705665716
171,52916.36759585101,6.636284909897075,7.56922069841404,4.4,36105.06961141978,"93303 Williams Expressway Apt. 435
New Sheryl, FM 51033",1062666.3663835817
172,64127.44061351987,5.6113101381575285,6.992732532187919,2.25,42628.71073811215,"3840 Timothy Walks
West Deborah, VT 14535-2467",1277744.7389113496
173,62503.58702751828,3.7795922467620247,7.156414686921626,6.48,35167.570230862766,"072 Ayala Forks
North Amanda, SC 46590",944288.9110136192
174,63380.81467003762,5.344664036395251,6.001574334569032,2.45,40217.333577428006,"3499 Stuart Plains Suite 304
Aaronhaven, NE 83521",932979.360621325
175,56553.5502526617,5.691129212559008,7.021252354277723,3.15,29682.409864227804,"PSC 4455, Box 3268
APO AP 45454",746096.728900488
176,73462.68344490015,6.62290864192692,5.829703683594148,3.04,47637.51525378335,"04062 Gibson Inlet Apt. 618
Christophermouth, SD 08482-3032",1638577.4166270343
177,81026.60677735893,6.278111189816944,8.133307932262177,4.29,24407.243175577725,"USCGC Johnson
FPO AA 50443-5069",1349989.646728484
178,64410.679988880176,6.6677657152263,6.137954507316652,2.31,47477.00521173748,"3608 Andrew Haven
Pittsburgh, WV 26247-1849",1306349.9922858966
179,77254.95871366048,6.842596033219186,6.697002820967431,3.33,28162.09708255604,"23360 Hicks Avenue
Lake Carolside, WV 96062",1419158.9590479657
180,42940.13893924214,4.238065601803662,7.812724696454197,6.36,45709.11709038722,"2989 Ronald Haven Suite 350
Andersonport, MA 12950-2330",680418.7240122693
181,55306.91146521415,5.830789448812896,6.693980073791421,2.06,32446.99906870668,"16130 Jared Mountains Suite 452
South Stacie, ID 68079-4583",624244.9443876417
182,63830.17384814184,4.5915333129961535,7.3991034971049725,4.02,29862.958765800053,"615 Hale Camp Suite 218
Josephside, ND 69787",1020336.8832747572
183,67453.08130871902,6.02545186097017,5.552289861955953,2.09,49085.96278053368,"8049 Joseph Ville
Austinshire, OH 39898-5331",1162949.6789860271
