,Price
165,752950.606800692
166,957814.6031436812
167,1706110.8599930475
168,860399.3451932153
169,2005037.3066792216
170,1895361.115383452
171,764756.0934618785
172,1876497.2688775952
173,1273554.2778351835
174,1597776.7705061822
175,1715435.9911160583
176,1626659.9596528397
177,561703.7697294904
178,712228.4243027219
179,496359.9707913821
180,863448.392442468
181,1058517.809925588
182,916344.293835102
183,1169944.2477587468
184,905435.84288734
185,390948.4499941545
186,1242111.4283369773
187,1080624.497165721
188,1578829.0122140937
189,1321008.5934856627
190,1290324.6486199498
191,1376146.8111116744
192,1288490.2684409255
193,1152145.9120119002
194,1423025.1014632925
195,2026303.098042327
196,1363669.0689153152
197,1450122.715015601
198,1434803.061308178
199,675919.6815570832
200,1235593.2765775274
201,1485145.6605448688
202,1273518.7367614836
203,1038330.0389589404
204,1048135.7541761532
205,1283590.4588727625
206,1841495.5078848747
207,732244.1580695552
208,873509.1895266719
209,1375057.08346865
210,1071537.3763820732
211,1230363.2340835028
212,1383651.8270781066
213,1023162.9529066276
214,752357.2823964689
215,1822438.419904841
216,1023595.112870682
217,534305.1323349292
218,1353635.4103963175
219,1090996.1430147758
220,1258957.6199939076
221,1091479.5601322306
222,727366.947448545
223,1137224.5754304302
224,1481171.234478745
225,613370.8510937464
226,1522143.6413856596
227,1439431.4528896934
228,1796245.8079055634
229,1705918.1795099657
230,1246509.1402311178
231,1204214.030496833
232,967868.51456034
233,1034366.7777318212
234,1592210.175923131
235,1603201.0477866288
236,1549031.093041703
237,1077813.592994645
238,615568.113378455
239,1621700.4633341725
240,1859883.6612404825
241,1310764.111882944
242,1413105.4948034876
243,1696339.544124581
244,1956438.6514352525
245,592397.7261389504
246,1210610.162569622
247,1249914.0785097177
248,984349.6141548756
249,378466.4201839389
250,1397680.2412138034
251,1658571.8640212913
252,1356691.3872020654
253,1270869.783171925
254,2009937.702628427
255,762144.9261238109
256,1882118.610971276
257,934408.7142813632
258,1789607.526139889
259,1713161.6991637428
260,1153135.2202940069
261,635419.3652163026
262,1677005.1404360302
263,676738.7155452124
264,2186194.7925734245
265,718650.643819188
266,1869886.305262404
267,1122083.2511626473
268,1241182.8349670342
269,1352135.9672641808
270,1697501.6046052328
271,1137523.110871686
272,1020536.1908295144
273,1042814.0978200928
274,1212939.953517593
275,823821.7863890536
276,1326481.6746851509
277,1046030.1142282496
278,412057.44010888686
279,1243918.8107245015
280,957806.002679502
281,1388209.2192993264
282,1046442.6344741364
283,1212461.5263719282
284,1765352.365907112
285,1550036.518714004
286,1196643.3845282209
287,769113.8331681177
288,799124.8491575408
289,1292592.392096719
290,1540480.613353576
291,1296467.9936411472
292,1534295.195012713
293,1014093.309964624
294,2180065.597738638
295,1417158.537395579
296,1181995.430504778
297,1024601.5627539242
298,628870.345640628
299,1723706.7585228554
300,1246246.8277597644
301,1399662.584467261
302,1128906.3392210985
303,1030759.6998373716
304,1553976.233904922
305,1361007.561847115
306,1493623.4158691058
307,1270297.5449310536
308,1592768.2418269338
309,885661.5908366481
310,1074456.402490409
311,1339636.1870255398
312,1692335.9636187928
313,1474466.879984229
314,1504664.2808396954
315,1136448.408760456
316,1209571.072413582
317,1759180.0436353062
318,1384798.0105584608
319,627650.4025709751
320,1460364.2998845282
321,1246485.1835210803
322,1328658.9110723843
323,1142127.8842701877
324,1313304.5877362725
325,941950.5794564656
326,784503.3579188933
327,1358526.7412621249
328,1379671.0747829855
329,677277.5965885132
330,1092843.3004067922
331,1071596.1123723
332,1009831.1347769842
333,579585.6980204432
334,1252419.1963991649
335,850977.0123103865
336,1222760.8580467268
337,1037780.4795439028
338,1020098.0413818643
339,1397956.1956462348
340,1445804.8316514797
341,1788786.455834884
342,1526025.6590792213
343,1330929.4721535884
344,1296881.9713107832
345,1199760.291716345
346,1102062.0975742438
347,1525690.995056731
348,1253359.9540054663
349,1417403.3118605698
350,1280588.3418971745
351,1312466.9735677736
352,1748864.714526891
353,1648246.7742056048
354,959102.080987074
355,1345004.119756513
356,1355545.587900736
357,1523136.4847209472
358,1321037.4136147692
359,1557794.0212722572
360,1342245.9687061738
361,201898.08657249613
362,1028683.0448748892
363,1940225.907504852
364,1144477.8789563088
365,798659.2170989877
366,1125692.507295288
367,1370274.3873120216
368,1305934.3248030248
369,962591.6565767032
370,1697281.49383007
371,2096977.790185921
372,886124.7256403731
373,1389366.7180879028
374,1294967.4107378754
375,1217021.518740754
376,1200060.6620374117
377,822431.7302651771
378,1359978.159938887
379,1130293.596703484
380,832559.7975509297
381,325195.9428324207
382,1216888.0202770547
383,1357250.5712569577
384,1390497.5661776802
385,1316180.4935914932
386,1430641.6323658398
387,1024907.9401935096
388,1106336.8383046896
389,1262012.9263482816
390,211017.97049475572
391,1805502.3400291663
392,1185734.9581772955
393,1360920.5303860817
394,999814.8898140816
395,1054732.600309668
396,576387.1752221297
397,842235.8033529122
398,973688.7554994224
399,1636906.2883778496
400,414571.2229366215
401,1214689.183704473
402,769576.8636597353
403,1131533.5554094613
404,1352096.0506802993
405,1247384.0849486168
406,836235.0305323859
407,852565.6268606181
408,1343605.8001820482
409,1705889.8866984083
410,1188416.8057158843
411,520217.89299136034
412,1496539.312892634
413,1196204.8862624606
414,1352547.6933606025
415,1151128.9154600538
416,1422195.8794505682
417,1060193.785884608
418,1354874.8372024396
419,676377.6614159645
420,1116487.3570941258
421,1454749.8065940435
422,952439.6621570892
423,1398353.590664104
424,1571664.903072999
425,1324382.1755828236
426,1599478.9856644769
427,652752.9727099423
428,1482617.728622024
429,1262494.286828816
430,1127174.7125458175
431,1448081.251171976
432,987746.9239531008
433,959734.8132979808
434,1328572.1905050843
435,1055484.373480787
436,1113856.5433985677
437,1491153.0301284252
438,894292.0474101036
439,1368134.9976821383
440,1031981.2829229428
441,1421216.5044408585
442,1246791.0287114407
443,1272719.6318939514
444,1427026.945021006
445,1502447.916728789
446,1720670.8768427868
447,1079000.316267436
448,716771.0057488753
449,1294685.158547012
450,1220700.6961370956
451,1516075.011970649
452,1648201.727904935
453,789043.8511966037
454,1641749.651205491
455,960083.9968510192
456,738760.7474313262
457,1603046.1793571317
458,1529281.840119341
459,1185310.2673441938
460,1753820.6224521047
461,1314348.6992100195
462,1316129.3090572683
463,1575966.5525391516
464,971174.9867792164
465,1188761.3202272817
466,1292643.5202523577
467,802846.1222953709
468,800628.7470270158
469,735660.455803421
470,1530294.5773399265
471,1238708.7597381796
472,1180989.3240263455
473,1810782.4134547503
474,1684537.9611563762
475,1738788.3818940688
476,1111710.900422078
477,1005843.916993128
478,946556.2636948556
479,901881.7426862384
480,685775.5980289889
481,1138036.5950419137
482,1066768.0000586305
483,1682105.8474714488
484,1271518.964260625
485,795507.8434415429
486,1744932.210990927
487,1376240.615299077
488,1175781.4175700566
489,1365496.8850918792
490,1051123.8330999936
491,1232156.01224821
492,1652845.980628764
493,1372878.5343937918
494,1006544.5265988766
495,862865.8153196024
496,1129613.0100203287
497,753652.2718451797
498,1031737.3848127612
499,1388596.243304004
500,1393897.3902198137
501,1286477.3958779026
502,1393746.760467427
503,1530013.4488713266
504,1359052.8457646829
505,980177.3051371255
506,1231452.1888837516
507,1039915.3412099368
508,1088548.8265538793
509,976540.0985009592
510,764799.8830136815
511,712285.8255751298
512,944186.159068424
513,1255576.272954358
514,1022781.1707429125
515,1423296.118000431
516,1227167.407601847
517,1840236.005802689
518,1025461.1344276336
519,1028636.4228705128
520,1285019.1365090108
521,1220133.3583303108
522,573434.664234319
523,862407.8170122284
524,948054.0086787434
525,1612717.553099336
526,1417957.9831817353
527,1128252.8194117516
528,1129798.3727253522
529,1629345.786532865
530,1508856.4243147469
531,1770616.9299354246
532,2016910.7397073263
533,977135.885657804
534,1151189.6422095394
535,1170169.2592077083
536,1245400.955310805
537,1411266.4112796998
538,800146.2260609316
539,1296121.431916046
540,1024787.9415573477
541,1599963.8071501006
542,2235294.7182697523
543,1095391.7986012583
544,1235144.0963772624
545,1537310.6164231747
546,1462875.9838223844
547,1447492.964395294
548,641484.2385493759
549,1467075.1685579268
550,1184799.2714969371
551,973068.5570349528
552,1327806.7288319168
553,1890789.1767706247
554,998855.579912743
555,1597330.4114850054
556,923830.33486809
557,1073347.545209808
558,1238396.412062526
559,1517868.594946868
560,962551.0371401922
561,1371521.619588533
562,1343484.7267360713
563,1517597.5270904675
564,1341870.353786446
565,1412776.5771211844
566,1443470.037082047
567,945831.1862992597
568,1041237.8173865617
569,1439892.6324951418
570,1455556.4656425468
571,1761960.5686365997
572,1384432.1532990958
573,1130844.0293626525
574,1146532.4547405615
575,1120439.365347112
576,1580557.01024894
577,1332042.9116713523
578,944979.0094316948
579,1454035.0082315337
580,1192677.550021043
581,1359762.6936754046
582,430088.2507146244
583,1218125.212270385
584,1395855.656281703
585,1307136.3345809835
586,1914509.5209888024
587,1988563.9932623703
588,704884.1543653731
589,1566253.096466375
590,1205706.714723642
591,758262.6121106534
592,1317160.4026229358
593,1391159.433681266
594,738431.8310762816
595,1247660.9897520875
596,1033450.1392811146
597,1018457.9870522928
598,1610217.177003238
599,911071.833553066
600,1114779.246640951
601,1016187.1036521762
602,1232014.5271086118
603,1020041.7474392444
604,1486401.3205096938
605,1815920.449805418
606,957283.65635498
607,1721261.81159612
608,1465223.509412894
609,999826.6092888176
610,1156329.2740497622
611,763874.064468313
612,1114729.7245235315
613,1397341.8559937114
614,1646565.0536213254
615,1168588.0313207726
616,1180091.4978196998
617,764955.4982070819
618,528485.2467305964
619,1463367.8208253654
620,984672.2998159366
621,1785449.7201678944
622,1050239.9038404576
623,2100698.0711571057
624,1469237.20519252
625,1156853.3645122452
626,1522099.830788929
627,1376969.9288002914
628,1667560.879303713
629,1137801.932711826
630,1524689.063301804
631,864483.7584963772
632,1373589.8035017387
633,1000842.1776144834
634,1616631.3337499716
635,1709667.1888454657
636,1106149.6856573927
637,555755.6567947512
638,1092701.392243675
639,908013.0020703824
640,1323959.799106813
641,822685.3745816726
642,1200653.345481142
643,911656.1052977764
644,992566.6232646884
645,1252416.6912618277
646,888866.3945395602
647,1621035.9027174718
648,1247557.6951939955
649,1076032.5535246094
650,1377939.7745081235
651,1778411.664830746
652,1005946.7673244304
653,1454681.9367671097
654,1381085.72928298
655,867714.3838490517
656,1134273.424521429
657,711499.2445801494
658,1662939.0973972816
659,910512.6353617404
660,1113936.637831619
661,549976.1455595789
662,1174289.0805683718
663,1329007.2034481545
664,1364306.7686809986
665,1521085.4724705894
666,993725.2171881604
667,482689.7033756664
668,1133084.3238238392
669,1625508.0131062374
670,1003837.6670084944
671,1006687.3871388726
672,874969.6968663778
673,1047226.966817666
674,1583897.5377636522
675,1445030.984450201
676,1680017.2404207706
677,1222045.0908874616
678,685355.4168064342
679,1699952.8144478828
680,875799.24734427
681,1120349.773128633
682,1663653.7097575443
683,1028760.4652352538
684,1440317.7631070798
685,1229702.9483640655
686,1714445.1746365826
687,1178600.6477851174
688,1086716.795708651
689,1555184.5805683313
690,1724733.024817479
691,1554301.938081737
692,1760734.690364014
693,1536234.7087011335
694,1210400.1269547315
695,1390200.2242984471
696,1454943.0736612405
697,1688279.3081102488
698,828127.0276465778
699,1343537.1784667335
700,334485.1931043381
701,1255736.4085876248
702,1181663.4835711485
703,891981.0975959449
704,679922.2521497933
705,1032043.2117639716
706,1238486.1702122071
707,1204372.295219665
708,1480888.8042321615
709,1368670.2992131882
710,1078534.5530803995
711,857762.316993493
712,1809154.2893631735
713,1647216.593664451
714,2096954.0406756613
715,1643291.7224787388
716,1046943.498344274
717,1940195.3735729896
718,1112548.478989689
719,412269.2033995612
720,771002.0763374092
721,1747911.4958528914
722,503065.50562420936
723,1375467.2709967713
724,839629.5121744731
725,832536.8853673466
726,1481146.950498894
727,1400496.6554586324
728,783350.673223018
729,1723729.6551644218
730,877566.8220142606
731,1424283.373183943
732,1139360.434008341
733,1408074.5302975378
734,1428693.929893514
735,1403802.5018906312
736,1082455.0175112423
737,1128403.366059227
738,1262232.32130769
739,994897.7277644676
740,1440736.5832582822
741,1113570.8518884848
742,1431386.814465111
743,960904.9953518584
744,1362436.153753944
745,2059301.3434198145
746,1163741.658300815
747,1369976.5013014628
748,1293746.8758661628
749,1412806.285764952
750,1220987.0020716093
751,1722463.5625445358
752,1198656.8724076871
753,1196996.6810854594
754,266298.8811183604
755,720080.2320528892
756,1111580.0995746746
757,1118595.1189391278
758,1235226.477832707
759,1115080.6543461238
760,1362239.0535402829
761,1089601.88163052
762,1168627.6508344968
763,1236093.9143957258
764,1044017.4316455174
765,1347578.5303379197
766,1567368.284951169
767,1263018.1269889686
768,1499153.0808398786
769,1507331.2882072204
770,1065150.786753825
771,1303091.9098629449
772,1339142.80508292
773,1214320.5743640617
774,1880127.0624823808
775,1191625.4399627368
776,997827.2537752064
777,1249092.9279203585
778,1433260.2277418757
779,1543801.654559296
780,1663473.1208282846
781,1040781.7953593384
782,542596.9895250229
783,555504.1478098433
784,1054249.2065594809
785,1348804.229340074
786,1218566.262361531
787,527749.4038647808
788,1148416.90958571
789,1237902.8200737466
790,1827500.8917075216
791,1721005.4195045803
792,1223915.2526177592
793,1495012.9648340766
794,1412501.2455075418
795,1387701.1110529576
796,1499988.8795226102
797,1262552.685917803
798,1638541.9393635048
799,1240319.6922110629
800,639471.7361335896
801,1168919.40079419
802,980141.2191076672
803,2050988.4966792744
804,1378399.109063904
805,752168.0688699826
806,1064703.3052359354
807,901752.6804515448
808,1912825.285217769
809,1577849.5238022262
810,1477765.1478095248
811,1383842.185059596
812,1508198.6717552186
813,302307.4010604978
814,1629049.623519236
815,2024902.521283108
816,440585.029390805
817,1517693.106201501
818,1201110.2943628735
819,1710924.3665235362
820,1003941.9288969066
821,815569.5956124964
822,861013.9460775609
823,742016.0551722904
824,831471.5304107015
825,943309.4486039542
826,1626941.7878663803
827,1281777.5811675105
828,1078577.267042615
829,985117.6289110236
830,1742566.0060480188
831,1006580.4796598312
832,1422916.8108158372
833,449728.1009992498
834,1199618.942666095
835,1504441.0101502882
836,1203850.1042760182
837,1219154.4031595571
838,1245053.4325274914
839,1153435.0923530154
840,1578136.165302621
841,1361521.9829376258
842,1275403.4641792628
843,1311902.5342296974
844,821859.065727853
845,1638094.5378479655
846,1492521.8665181694
847,1279279.7998179044
848,1301935.9200130317
849,1033155.3294570053
850,963531.915230982
851,1030591.4292116084
852,2013015.7460613856
853,626020.1694678677
854,1063964.287873947
855,1425632.5419741997
856,1700109.6075385266
857,1013252.2090460656
858,1084011.704468987
859,920540.6539499458
860,1031385.4548974172
861,1252691.7928813468
862,1070720.058487742
863,1501303.964140751
864,1503327.000474601
865,873241.9885742475
866,1592664.7003937657
867,1410264.404777016
868,1838092.102498864
869,925163.7460279363
870,1370830.388597882
871,801194.619821129
872,1552536.7639745462
873,796666.1224321837
874,1637261.8540206803
875,1309397.0494290392
876,1708102.1023987215
877,1230391.468297335
878,1124719.4901653505
879,1418595.7271501643
880,1251688.6157028745
881,2049146.62989614
882,816813.5323512612
883,1517316.573657094
884,1601904.3565403365
885,1590804.0443750557
886,1005089.893975332
887,1287784.3040333614
888,1451078.0931341348
889,1144319.075933622
890,1247002.1642628403
891,1059406.1303480302
892,1214334.973151577
893,969323.4858200226
894,1573288.817601286
895,1445527.1366654434
896,1614667.5279239863
897,1311389.5758279422
898,1074296.7036450151
899,1487571.5513345315
900,1205962.994953347
901,814573.147135164
902,1048800.6512755358
903,714166.3978061128
904,1598593.732667399
905,1061222.5368688365
906,1572099.689856232
907,798639.6541779223
908,1470427.375478438
909,1613414.2330507296
910,2332110.740124409
911,1384478.3045482538
912,1076334.1025455322
913,1309768.1961093454
914,1491145.2404770595
915,657169.3041615344
916,1735340.255686551
917,1259163.0652436588
918,1535844.8961570102
919,749383.0725554076
920,1455737.134904127
921,671343.9417927802
922,1431915.977008168
923,1000043.9033467688
924,1293461.7978863874
925,1165240.1780106246
926,943469.8080245096
927,479500.5568108269
928,1587122.3687081682
929,1385783.5170925185
930,1360908.3196200058
931,1113782.4678671532
932,1170573.7698636418
933,1496466.3571105185
934,892718.0910073874
935,1441421.912993609
936,1133814.077962921
937,716316.4881444586
938,1721739.3841384957
939,917351.1355937724
940,1688093.2574580356
941,1327961.0982193248
942,615555.4936155445
943,560598.5384309639
944,1765809.432066297
945,1660770.001712214
946,755678.3301073947
947,975385.5554017648
948,1417275.667232232
949,1066040.788657332
950,710269.2139681028
951,880214.2118726358
952,1094347.9684030702
953,841392.493028112
954,1173695.2918510274
955,1465120.4700062692
956,1261681.960817626
957,707345.0624327669
958,1236308.2799445027
959,751324.1387490695
960,1168887.4593327818
961,1168355.3197896334
962,1022709.6955066584
963,1228138.1291208954
964,1412097.1767743204
965,906011.3853235616
966,1505727.4308014044
967,972079.5875536922
968,1285202.33657612
969,1408347.4447394784
970,1467271.5557894418
971,1637259.9986677852
972,1366727.6626961108
973,934111.6355005292
974,1302814.48932942
975,745586.5735088169
976,1105024.4162669778
977,1208875.0835810225
978,1040762.831883902
979,986285.38185614
980,980274.069913861
981,1690091.018694864
982,454234.33443278814
983,1799455.4060927469
984,1350283.9965166692
985,619407.4862651835
986,1168760.4276857057
987,1203247.8901339215
988,1017105.3708378994
989,793894.9731793484
990,1914746.582259952
991,1482107.3699638068
992,1794014.297854993
993,1361828.8480482409
994,1224186.6959259962
995,1107031.2463494784
996,1405505.2437013972
997,1924155.5815279875
998,1571253.5314750455
999,883147.4710432091
